"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","5","55","-6.144427685132266","-3.335898115098052","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.142900000000003","2","-0.8940000000000007","1"
"1","15","308","-0.9249792431105344","14.691084004306935","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9837951999999979","3","-0.7940000000000007","8"
"2","35","55","10.755283020978213","7.39025318400776","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.103199999999989","2","-0.5110000000000003","6"
"3","135","225","1.3079325635847727","4.829276886696231","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.986415000000003","1","-0.8700000000000008","4"
"4","9.9","253","-5.731933300946067","3.3381744755410683","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.98743860000004","3","-0.8030000000000006","4"
"5","15","347","-9.453403585037732","15.880996086633846","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.8768231999999967","3","-0.7520000000000007","9"
"6","85","355","1.9635762827766916","-12.609493693253071","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.061707600000055","3","-0.6780000000000006","3"
"7","95","302","9.825374180855466","4.217704228685765","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.176020000000002","2","-0.6390000000000007","1"
"8","9.9","194","15.740789602830842","7.87809179369502","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.075750000000003","2","-0.5150000000000006","7"
"9","85","101","11.114317277835811","9.60656914953508","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.000595400000008","3","-0.7460000000000007","7"
"10","85","321","8.629641068278026","6.564089361321805","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.968183800000001","3","-0.5900000000000006","7"
"11","85","189","4.261931255460734","-9.867555920996164","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.969222799999994","3","-0.48300000000000043","0"
"12","35","323","-2.9514575288373","13.773108108137283","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.946720000000001","2","-0.47100000000000053","1"
"13","135","236","-1.8196752888663208","16.24062384801643","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.116288699999949","3","-0.8670000000000008","9"
"14","15","17","11.476340722261128","-14.130748141508047","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.75","2","-0.9380000000000008","8"
"15","35","181","-10.118388824523254","11.102359278729637","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.000547800000032","3","-0.6920000000000005","8"
"16","15","63","-15.506531193944488","-0.005406495584005189","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.0081633999999937","3","-0.6430000000000006","7"
"17","85","90","-7.925984347607059","8.834549978927068","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.002600800000012","3","-0.7830000000000007","4"
"18","85","184","5.319702149020843","-15.642965658960899","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.959037899999983","3","-0.7190000000000005","4"
"19","9.9","284","-15.484980610604708","-10.558359141062272","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.054260000000003","2","-0.5940000000000006","3"
"20","5","115","12.498439099978269","-14.690594205017431","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.854275000000001","1","-0.6840000000000006","9"
"21","9.9","116","-13.026777466489092","-2.0115767351785476","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.415380000000003","2","-0.7980000000000007","0"
"22","25","264","-14.187818432076691","-7.083055765145412","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.030479899999999","3","-0.5260000000000004","1"
"23","105","126","-0.4474752227575286","-8.459594066896997","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.982504999999985","3","-0.8020000000000006","8"
"24","25","247","0.5586327743272386","14.530999659043061","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.997310000000005","2","-0.41400000000000037","3"
"25","85","171","12.3146591453906","7.530650424932485","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.051571600000038","3","-0.7320000000000007","0"
"26","5","332","-12.069984736189781","3.4120710087338977","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.062469999999998","2","-0.7770000000000008","8"
"27","85","344","-12.506694420279725","3.0317903869476126","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.964221400000006","3","-0.6340000000000006","6"
"28","135","321","11.446494461484413","2.0510670301991993","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.437210000000002","2","-0.8170000000000006","2"
"29","5","79","15.706165548000275","11.744181793526607","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.973011000000044","3","-0.8660000000000009","9"
"30","85","248","13.075455890942933","6.277526870235999","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.02236830000004","3","-0.5350000000000006","8"
"31","35","168","16.21301346093916","-1.7096654490717862","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.015312799999974","3","-0.5330000000000005","5"
"32","0","58","10.485480668311222","-3.8871897029423756","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.253429999999994","2","-0.5920000000000006","2"
"33","9.9","325","-5.25886631819387","5.420841204502071","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.110260000000002","1","-0.6840000000000007","7"
"34","0","309","11.173513600508013","12.498299583092233","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.137899999999997","2","-0.8740000000000008","8"
"35","85","49","-9.237182694910832","-3.203577825723242","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.05973980000003","3","-0.6930000000000005","3"
"36","135","344","-5.537656214765936","-3.0609200906397325","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.863609999999994","2","-0.8770000000000008","4"
"37","125","236","5.665817980460152","-4.656210145551778","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.559519999999997","2","-0.4800000000000006","0"
"38","9.9","160","-15.727374473161952","0.5836967268393475","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.57865","2","-0.4870000000000004","3"
