"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","25","128","14.891837479246512","1.8417976573985828","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.0077200000000044","2","-1.557999999999976","5"
"1","85","191","-12.572391686277685","-7.938156105114026","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.9358899999999855","2","-1.4509999999999799","2"
"2","45","235","4.67171280078224","-9.701564215055505","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.002900000000004","2","-1.471999999999979","5"
"3","25","304","-5.023836095990385","-8.309831318339933","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.0792850000000023","1","-1.6269999999999722","3"
"4","115","114","-15.295339937763917","-14.701121175743014","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.953719999999941","3","-1.4059999999999826","0"
"5","25","18","-0.8765588718748494","2.7637232928366515","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.8642500000000028","2","-1.5389999999999773","2"
"6","15","164","8.02308822366149","5.008009394913994","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.75","2","-1.389999999999983","2"
"7","25","190","0.9875970683568847","16.420014495867317","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.3797900000000056","2","-1.4459999999999795","6"
"8","85","103","-2.6038992234171996","16.283661988977855","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.915507699999923","3","-1.4319999999999806","3"
"9","115","329","2.477349324322835","3.4919078024171695","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.016979999999954","2","-1.634999999999974","5"
"10","25","88","-9.648710059060608","15.806739863932819","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.2731400000000037","2","-1.793999999999968","8"
"11","55","96","-1.8627283871819056","-1.761366506598175","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.5687500000000085","2","-1.6189999999999722","4"
"12","15","275","10.146628755359142","-11.332786052478053","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.7207300000000004","2","-1.4609999999999779","4"
"13","55","51","12.887738089960665","11.215507882683076","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.459739999999995","2","-1.5339999999999767","8"
"14","85","229","-9.062596892334867","5.361436829667648","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.983098899999989","3","-1.353999999999985","0"
"15","85","90","-14.11413221184014","-13.788249072805286","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.002877299999981","3","-1.7849999999999682","8"
"16","35","316","-7.001998200754017","15.923386720055026","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.986571300000032","3","-1.3319999999999856","7"
"17","35","216","10.926856264398483","6.3990304664554944","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.952774999999983","1","-1.2769999999999886","0"
"18","15","297","2.7017889860993343","2.3770083653901133","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.6490700000000051","2","-1.4829999999999788","3"
"19","15","136","-8.466793908396262","5.752773856929373","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.1571600000000017","2","-1.8539999999999657","9"
